feature,label
T T K M L C A A D P Q W K T D S C Q G D S G G P L V C S L Q G R M T L T G I V S W G R G C A L K D K P G V Y T R V S H F L P W I R S H T K E E N G L A L X X X X X,0
E V V W G S N K P V K P P L Q E R F V E E I I I H E K Y V S G L E I N D I A L I K I T P P V P C G P F I G P G C L P Q F K A G P P R A P Q T C W V T G W G Y L K E,0
P E S W K P T D T E G K K Q Y D R E F L L D F Q F M P A C I Q K P E G L P P I S D V V L D K I N Q P K L P M R T L D P R I L P R G P D F T P A F A D F G R Q T P G,0
I S V R L F K R K V G G L G F L V K E R V S K P P V I I S D L I R G G A A E Q S G L I Q A G D I I L A V N D R P L V D L S Y D S A L E V L R G I A S E T H V V L I,0
Q R L A Q V A K A V T Q A L N R C V S C L P G Q R D V D N A L R A V G D A S K R L L S D S L P P S T G T F Q E A Q S R L N E A A A G L N Q A A T E L V Q A S R G T,0
H I K Q E L A V F S S A D P P P K T A T P E E F I R M T K G I T L A T A K A V A A G N S C R Q E D V I A T A N L S R R A V A D M L R S C K Q A A Y H P E V K R E V,0
L V R V K V A E A G H Y T M R A F H E D A E V Q L S F Q L Q I N V P V R V L E L S E S H P D S G E Q T V R C R G R G M P Q P N I I W S A C R D L K R C P R E L P P,0
E T N A D T I D K N H A I Y E K A K E V S S A L S K V L S K I D D T S A E L L T D D I S D L K N N N D I T A E N N N I Y K A A K D V T T S L S K V L K N I N K D X,0
X X X X X X X X X X X X X X X M A F D V I M P K L G V D M Q E G E I L E W K K N E G D T V N E G D V L L E I M S D K T N M E I E A E D T G V L L K I V H Q A G D V,0
X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X M V A L S L K I S I G N V V K T M Q F E P S T M V Y D A C R I I R E R I P E A P A G P,0
K I G K V F K N P K F S I L T V R N D I T L L K L A T P A Q F S E T V S A V C L P S A D E D F P A G M L C A T T G W G K T K Y N A L K T P D K L Q Q A T L P I V S,0
G V C R E E I E R E V S I L R Q V L H P N I I T L H D V Y E N R T D V V L I L E L V S G G E L F D F L A Q K E S L S E E E A T S F I K Q I L D G V N Y L H T K K I,0
Y G R S G I T L G V L V P H V G E T P I A Y R N V L L R K N G N K G A G G H S Y G I D L K S Y D L G D E L G T D P I E D Y E Q N W N T K H G S G A L R E L T R E L,0
Q F K A K V D D L V L G K P L A D L R P L F T R Y E L Y I K N I L E A P V K S I E N P T Q T K G N D A K P A K V E D V Q K S S D S S S E D E V K V E G P K F T I D,0
V D G W Q V S L D A G L R S R I A A M R D E C L P D E T G G I L L G V V D I P A R K I H L A D A A K A P A D S I G S P T G F V R G T D G V Q Q M I D R S M A E T Q,0
S V T P H S P S S P V G S V L L Q D T K P T F E M Q Q P S P P I P P V H P D V Q L K N L P F Y D V L D V L I K P T S L V Q S S I Q R F Q E K F F I F A L T P Q Q V,0
G V R F F F Y T S K E P V A S I I T K L N S L N E P L V T M P I G Y V T H G F N L E E A A R C M R S L K A P A V V S V S S P D A V T T Y N G Y L T S S S K T S E E,0
E E A L E A Q Q E A L G L V C V Q A A T S S S S P L V L G T L E E V P T A G S T D P P Q S P Q G A S A F P T T I N F T R Q R Q P S E G S S S R E E E G P S T S C I,0
N A T N M N K C N L Q S E K I P V F E E S A T P T T T D D F S D N N P S F T E D E T S D D E S S H S N C A P I D L S F K N R V D K P E V L N T A S I D N L T E S L,0
P S R L K G D N E K H S P R N M G G I L G E D L T L D L K D I Q R P D S E H G L S P D S E N F D W K A I Q E G A N S I V S S L H Q A A A A A C L S R Q A S S D S D,0
S Q L H P S S A Q R N G Q T P K G T A C K V P S I N Q E T M Q T Y C V E D T P I C F S R C S S L S S L S S A E D E I G C D Q T T Q E A D S A N T L Q I A E I K E N,0
P K G I Y G G L V K S Y A Y M R N G W D V E V T A V G N Q F N G G C L L V A L V P E M G D I S D R E K Y Q L T L Y P H Q F I N P R T N M T A H I T V P Y V G V N R,0
R E S T S V H D L N D K L E N E I A N K E S A L R Q S E E K N R Q I Q E R L E L A E Q K L Q Q T L R K A E T L P E V E A E L A Q R V A A L S K A E E R H G N I E E,0
R M F G P G R E Y N F T R P N E K G E Y V I A E G I S A T V F R T V L D Y Y K T G I I N C P D G I S I P D L R D T C D Y L C I N F D F N T I R C Q D L S A L L H E,0
K T L F T V V L E G P L F K K E E D C P D S C A M S K H L A E C E E C G G L G V L T G R C Q W R Q G S G K G I T T N Y S T C S P S T K T C P D G T C D V V E S K D,0
S V R R G S K R V A A N G G A Q R G W Q R T V G L K E G G S G R W G L F Q L T R Y H V X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X,0
V I Q H L E L Q L Q I A N I S Q Y L D P F C S V Q V A E Y T A L I V G M E A A L Q F G V R D L T I M C N S E V V F Y Q A Q L L A K K A F D S S Q D D T F V S R T Y,0
S V A K R K G E M E G A E V V E K R K K G R P R K D A K M M M P I S Q P F P Q T P V S A E K E P S R L V T P V A V L K L P T P S I Q K S F S T Q V S T D A I T Y L,0
P I N A D K V E N E D A F L E E V A E E K P H V K P Y F T K T I L D M E V V E G S A A R F D C K I E G Y P D P E V M W Y K D D Q P V K E S R H F Q I D Y D E E G N,0
L S N A L K R G E I I A K Q G G G G G G G S V P G I E R M G P G I D R L G G A G M E R M G A G L G H G M D R V G S E I E R M G L V M D R M G S V E R M G S G I E R,0
H L T G T Q H M L N L L R S G V D D P E M A D I A E E C K Q E C Y D L F V Q A A Q Q E K E W A D Y L F R D G S M I G L N K D I L C Q Y V E Y I T N I R M Q A V G L,0
Y G Q K P Y K K M K G P E V M A F I E Q G K R M E C P P E C P P E L Y A L M S D C W I Y K W E D R P D F L T V E Q R M R A C Y Y S L A S K V E G P P G S T Q K A E,0
Y A S V P P A N V T N A Q A S M F T N L T F S G A R Y T G L G D M D A I A I L V T T P T G A V N T A V L K V W A C V E Y R P N P N S T L Y E F A R E S P A N D E Y,0
M F L A R A I V F V C V E Y Y P L L F I T G N T L Q C I M L V Y C F L G Y C C C C Y F G L F C L L N R Y F R L T L G V Y D Y L V S T Q E F R Y M N S Q G L L P P K,0
S G I P A N N K L Y V V G G L P N P T S V E R W F H G D A A W V N M P S L L K P R C N P A V A S I N N V I Y V M G G H S E T D T T T E Y L L P N H D Q W Q F G P S,0
R D P V Q L N L L Y V Q A R D D I L N G S H P V S F D K A C E F A G Y Q C Q I Q F G P H N E Q K H K P G F L E L K D F L P K E Y I K Q K G E R K I F M A H K N C G,0
S S S S K L S S S M Y S S Q G S S G S S Q S K N S S Q S G G K P G S S P I T K H G L S S G S S S T K M K P Q G K P S S L M N P S L S K P N I S P S H S R P P G G S,0
P K S P P E H Y V Q E T P L V F S R C T S V S S L D S F E S R S I A S S V Q S E P C S G M V S G I I S P S D L P D S P G Q T M P P S R S K T P P P P P Q T V Q A K,0
T Q V I A A A T Q C A L S T S Q L V A C T K V V A P T I S S P V C Q E Q L V E A G R L V A K A V E G C V S A S Q A A T E D G Q L L R G V G A A A T A V T Q A L N E,0
R L V K K N E E A A D E V F K D I M E S S P G S S P P N L T P K P L R R Q V T V A P A S G L P H K E E A G K G S A L G T P A A A E P V T P T S K A G S G A P G G T,0
D S R T V Y A K N I Q D V G A F S T V K G V V F D K A D T E F F Q E F A S G N C S I P W Q E E M I E T G L F G D L N V W R A D G Q M P D D M K G I T T E E A A P T,0
S N S P Q E T T Q S R P M P P E A R R L I V N K N A G E T L L Q R A A R L G Y E E V V L Y C L E N K V C D V N H R D N A G Y C A L H E A C A R G W L N I V R H L L,0
C P D A L N R R F H F D I D V S A K D G Y K I N N K L D I I K A L E D T H T N P V A M F Q Y D C A L L N G M A V E M K R M Q Q D M F K P Q P P L Q N V Y Q L V Q E,0
L V T D T R E Y L A V V P Q H T S F T N A Q L L E I M M A Q D F Q D L T G Q V I K R M M D V V Q E I E K Q L L M V L M E N I P D I P S K P Q K P T D S L L N G P Q,0
M S D P P E K G A E A P D W F Y V P N V P P L L D G Q T R R S Y V L W R E F I A P L I V L E F V S G D G S E E R D K T P W K G K F W I Y E Q V I R P P F Y G I Y E,0
R I E L A N P K G R L K P A M Y A E V E I P L A G A V Q V V T V P N S A V I D S G S K Q V I I M Q L G E G R F E P R V V R L G Q R G S E F V Q V L E G I K E G E M,0
C S D E M Y N L M L K C W K Q E P E K R Q T F G E I S K E L E K M M V K S R D Y L D L A A S T P A D S L L Y D D G L S E E E T P L V D C N N A P L P R T L P S T W,0
Y F L D I T S P P S P R L L R L L S T L A E E S S E Q Q E L E A L S Q D P R R Y E E W K W F R C P T L L E V L E Q F P S V A L P A P L I L T Q L P L L Q P R Y Y S,0
F E N P I E L A D A R E L V T D T R K F L G D V P G H T S F T N A Q L L D I M M A Q D F Q D L T G Q V I K R M M D V I Q E I E R Q L L M V L L E N I P E Q N S R P,0
L R R H V G P G E G A V Q W M N R L I A F A S R G N H V S P T H Y V P E S D A A A R V T Q I L S S L T I T Q L L K R L H Q W I N E D C S T P C S G S W L R D V W D,0
R V F T E A M T R Y S A P P G D L P Q P E Y D L E L I T S R S S N V S V A H D A S G K R V Y Y L T R D P T T P L A R A A W E A A R H T P V N S W L G N I I M Y A P,0
L R V I Y E R M N Q S L S L L Y N V P A V A E E I Q D E V D E L L Q K E Q N Y S D D V L A N M I S E P R I S Y G N D A L M P S L T E T K T T V E L L P V N G E F S,0
D D Y S A E V E E L L P Q H L Q P S S S S G L G T S P S S S P R T S P C Q S P T I S E G P V P S L P I R P S R A P S R T P G P P S A Q S S P I D A Q P A T P S L P,0
R E W A Y R N F R E E E P R P D S F L E R F R G P E L H T V T T Q Q G D G K G D K D G E G K G T K K K F E L F V L D P A G D W Y Y R W L F L I A L P V L Y N W C L,0
T E A P Q E I T C I P S V V I E P A S N H E D E H D N D I T I E V T E A V E E K F E T D S T L D S T V E Q S H S V S N D E A D S L T T S Q S K P E G F L Y K A E A,0
